,Target,importance
3256,"Epithelium_Mammary_Gland | ESR1 | ID:41144
",0.09253755
18359,"Tumor_cells | STAT3 | ID:84623
",0.09250085
4061,"KB_Cell_Epithelium_HeLa_contaminant | RELA | ID:43313
",0.09246988
6806,"Jurkat_T_Lymphocyte_Blood | H3K4me3 | ID:49500
",0.092443034
14398,"HT29_colorectal_adenocarcinoma | NR1H2 | ID:69806
",0.09242484
20051,"Brain_Mid_Frontal_Lobe | H3K36me3 | Roadmap
",0.09240471
17213,"K562_Erythroblast_Bone_Marrow | POLR2A | ID:81392
",0.09236852
14064,"K562_Leukemia_Cell | SPI1 | ID:68826
",0.092257194
19609,"Embryonic_Stem_Cell | GATA2 | ID:88445
",0.09222253
21338,"K562 | ETS1 | ENCODE
",0.09219498
17444,"JMSU-1_cancer_cells | RXRA | ID:82023
",0.09181172
8142,"Embryonic_Stem_Cell | POLR2A | ID:53667
",0.091736525
14233,"HuRef_Lymphoblastoid | CENPA | ID:69230
",0.091685876
12906,"Monocyte | ATAC-seq | ID:66119
",0.091576174
6616,"MCF-7_Epithelium_Breast | H3R26Cit | ID:48966
",0.09144473
15586,"resting_Blood | H3K4me3 | ID:73733
",0.09142985
9001,"293T-Rex | H3K27ac | ID:55857
",0.09139501
10863,"K562_Erythroblast_Bone_Marrow | HES1 | ID:62673
",0.09139154
17214,"K562_Erythroblast_Bone_Marrow | NUP98 | ID:81393
",0.091316655
21411,"K562 | SETDB1 | ENCODE
",0.09131192
20413,"Fetal_Placenta | H3K36me3 | Roadmap
",0.091251835
13581,"COLO_205 | H3K27ac | ID:67549
",0.09124567
7803,"T_Lymphocyte_Tonsil | H3K4me1 | ID:52306
",0.09118739
1373,"Myoblast_Skeletal_Muscle | H3K9ac | ID:35425
",0.09116427
1156,"HeLa_Epithelium_Cervix | SUMO1 | ID:34373
",0.09113526
15745,"MCF-7_Breast | H3K36me3 | ID:74303
",0.09100532
9354,"HeLa_Epithelium_Cervix | GTF2B | ID:56978
",0.09094762
17370,"SKmel239_melanoma | H3K27ac | ID:81792
",0.09090279
20574,"GM12891 | DNase | ENCODE
",0.090766594
14690,"T_C28a2_Chondrocyte | H3K36me3 | ID:71125
",0.090680875
21588,"NHDF_Ad_Adult_Dermal_Fibroblasts | H3K9me3 | Roadmap
",0.090624794
10774,"HEK293_Epithelium_Embryonic_Kidney | ZNF585B | ID:62532
",0.09039397
21155,"HUES48_Cell_Line | H3K9me3 | Roadmap
",0.090389706
7192,"Jurkat_T_Lymphocyte_Blood | MYB | ID:50397
",0.090352535
17635,"HeLa_Adherent_HeLa_cells | POLR2A | ID:82511
",0.09033154
14696,"T_C28a2_Chondrocyte | H3K36me2 | ID:71132
",0.09024729
21705,"Penis_Foreskin_Fibroblast_Primary_Cells_skin02 | H3K4me3 | Roadmap
",0.090070665
15270,"Endothelial_Cell_Umbilical_Vein | ETS1 | ID:72624
",0.0899476
8062,"SH-SY5Y_Bone_Marrow | H3K9me2 | ID:53459
",0.08992627
12734,"T_Lymphocyte | ATAC-seq | ID:65939
",0.08992398
5467,"K562_Erythroblast_Bone_Marrow | YY1 | ID:45956
",0.0899164
13997,"Neural_Progenitor_Cell | POU3F2 | ID:68572
",0.08987598
21297,"K562 | Brg1 | ENCODE
",0.08983806
15381,"Prostate | AR | ID:72970
",0.089805014
1924,"Spleen | H3K4me1 | ID:37005
",0.08962875
13956,"FFPE | H3K4me2 | ID:68525
",0.08959528
20368,"Fetal_Kidney | H3K36me3 | Roadmap
",0.089513995
8985,"293T | BRD4 | ID:55816
",0.08948633
9776,"Myeloid_Cell | H3K27me3 | ID:58075
",0.08943752
3245,"Epithelium_Mammary_Gland | H3K4me3 | ID:41131
",0.08942836
95,"HeLa_Epithelium_Cervix | H3K36me3 | ID:1247
",0.08936937
13926,"C4-2B_Epithelium_Prostate | H3K4me3 | ID:68394
",0.08920613
21061,"hESC_Derived_CD56+_Ectoderm_Cultured_Cells | H3K4me3 | Roadmap
",0.089177825
7551,"HUES64_Embryonic_Stem_Cell_Embryo | OTX2 | ID:51529
",0.08912502
106,"HeLa-S3_Epithelium_Cervix | NR2C2 | ID:1298
",0.08900039
17398,"VCaP_Epithelium_Prostate | ERF | ID:81883
",0.08899222
3936,"GP5d_Colon | HNF4A | ID:42920
",0.088981
8889,"Toledo_B_Lymphocyte_Blood | H3K27ac | ID:55586
",0.088966645
318,"iPS-20b_iPSC | H3K9me3 | ID:1929
",0.08883465
18504,"Macrophage_Blood | RXRG | ID:85059
",0.08880909
6017,"Cortex_Brain | H3K27ac | ID:47234
",0.08874378
